title,text,category,source,url,date
Labour ministers yet to hold talks over Abramovich funds,"Labour ministers have yet to hold talks with key figures involved in unlocking the 2.5bn promised for Ukraine after Roman Abramovichs sale of Chelsea football club. Abramovich sold Chelsea in 2022, after he was sanctioned by the UK government over Russias full-scale invasion of Ukraine. The 2.5bn raised was meant to be used for humanitarian causes linked to the Ukraine war but it remains frozen in a UK bank account. Labour ministers are coming under increasing pressure to meet Abramovichs representatives or the members of the foundation that was set up to manage the funds. The Foreign, Commonwealth and Development Office (FCDO) told the BBC its officials are in talks with Abramovichs representatives. But multiple sources said there have been no meetings between any Labour ministers and members of the foundation set up to oversee the funds since the general election last year. Sources close to the foundation said there was a deadlock and a political decision by a minister is needed to negotiate and sign off an agreement that can break the impasse. One source said: For three years, the government has been saying its been working very hard to release the money. But they are not having meetings with the foundation. There has been no meeting with a minister since Labour took over, for example. The BBC understands the FCDO has acknowledged a request for a meeting between the foundations board and Foreign Secretary David Lammy. Abramovichs representatives did not wish to comment, but those with knowledge of the situation acknowledged little contact or progress had been made on releasing the funds under the four prime ministers to have held power since the sale of the club. The issue has taken on new urgency after Prime Minister Sir Keir Starmer announced that part of the UKs overseas aid budget was being diverted to defence. In 202425, the UK is sending 282m in aid to Ukraine. The 2.5bn - and the interest accrued on the funds - would make up for some of money taken from the aid budget, which was 15.3bn in 2023. Alison Griffin, of charity Save the Children, said: This money has been sitting gathering dust - and interest - when it could and should have been spent helping the children of Ukraine cope with the horrors of a full-scale war that has lasted over three years. The delay in releasing the funds centres on a disagreement between the UK government and Abramovichs lawyers. Abramovich was granted a special licence to sell Chelsea, providing he could prove he would not benefit from the sale. At the time, Abramovich said proceeds from the sale would be donated via a foundation for the benefit of all victims of the war in Ukraine, and his position has not changed. Abramovich - a Russian billionaire who made his fortune in oil and gas - cannot access the 2.5bn under UK sanctions but the money still legally belongs to him. He is alleged to have strong ties to Russian President Vladimir Putin, something he has denied. Sources said Abramovichs lawyers have in...",Politics,feeds.bbci.co.uk,https://www.bbc.com/news/articles/c9vydlzv31do,2025-03-08
Reform UK refers MP Rupert Lowe to police,"Reform UK says it has suspended MP Rupert Lowe and referred him to police, alleging he made threats of physical violence against party chairman Zia Yusuf. In a statement with chief whip Lee Anderson, Yusuf also said the party had received allegations of bullying in Lowes parliamentary and constituency offices. The party has appointed a lawyer to conduct an investigation into allegations of workplace bullying made by two female employees, he added. Writing on social media platform X, Lowe said the partys allegations were untrue and false and he was disappointed, but not surprised to read them. He added there was zero credible evidence against him and he was seeking legal advice immediately. Lowe said his suspension was a reaction to having criticised party leader Nigel Farage in a newspaper interview. Reform, the successor to Farages Brexit Party, has been riding high in recent polls - but this is a spectacular and very public explosion of divisions at the top of the party. The party had only five MPs in the Commons, and Lowes suspension means it has now lost one. In an interview with the Daily Mail earlier this week, Lowe had said the party remained a protest party led by the Messiah under Farages leadership. Farage, he added, would need the right people around him to deliver the goods as party leader. Farage hit back in an interview, saying Lowe was completely wrong and Reform UK was absolutely not a protest party. A spokesman for Reform UK confirmed it had withdrawn the party whip from him, meaning he will not sit as part of the partys group in Parliament and becomes an independent MP. In response, Lowe said: I asked reasonable and constructive questions of Nigel Farage and Reforms leadership, following months of pushing for progress behind closed doors. The day after, I find a knife in my back over false allegations. Whip suspended. A Reform UK source denied the announcement of its investigation was connected to the public spat between Lowe and Farage. A spokesperson for the Metropolitan Police said: On Thursday 6 March we received an allegation of verbal threats made by a 67-year-old man on Friday 13 December 2024. Officers are carrying out an assessment of the allegations to determine what further action may be required. In its statement, the party said it had appointed a KC, a senior lawyer, to investigate the allegations of bullying in Lowes offices, adding it understood complaints had been made to parliamentary authorities. To date, Mr Lowe has yet to cooperate with this investigation, the statement added. In addition to these allegations of a disturbing pattern of behaviour, Mr Lowe has on at least two occasions made threats of physical violence against our party chairman. Accordingly, this matter is with the police. Writing on X after Reform UKs statement, Lowe said he had cooperated and spoken at length with the lawyer appointed by the party. In a further post on Saturday morning, Lowe asked Farage to have dinner with him to resolve th...",Politics,feeds.bbci.co.uk,https://www.bbc.com/news/articles/c4ge5jl62nro,2025-03-08
Starmer welcomes EU moves to boost defence spending,"Sir Keir Starmer has welcomed an EU move to increase defence spending that was decided at an emergency summit in Brussels on Thursday. The package includes loans and weakened deficit rules in a bid to boost the continents military forces. Speaking after a call with EU leaders earlier, the prime minister said the historic move was another sign of Europe stepping up. It comes as Sir Keir tries to persuade European countries to join a coalition of the willing to deter Russia in the event of a peace deal in Ukraine. According to UK officials, about 20 countries are interested in joining the coalition, although would not necessarily offer to send troops, but instead provide other support. In recent weeks, EU leaders have repeated longstanding promises to boost Europes military capabilities, after voicing concerns the continent cannot rely on US security support under President Trump. At a summit in Brussels on Thursday, they backed plans to jointly borrow 150bn to lend to EU governments for military expenditure. The European Commission has also proposed diverting regional development funds towards defence, alongside an emergency suspension of the blocs rules on government debt and deficit levels. Starmer was briefed on the plans in a call earlier with European Commission President Ursula von der Leyen and European Council President Antonio Costa, alongside the leaders of Canada, Turkey, Norway and Iceland. Afterwards Downing Street said the prime minister applauded the progress made at the Brussels meeting. He also discussed plans for the coalition of the willing and noted a meeting in Paris next week would be an important moment to drive forward planning, a No 10 spokeswoman added. The UK and France have said they are willing to provide peacekeeping troops to Ukraine and are urging other European countries to make the same commitment. But Sir Keir has said that in order to be effective, their presence in Ukraine must be backed by security guarantees from the US. US President Donald Trump has so far avoided committing to such support, instead arguing that the presence of American workers in Ukraine as part of a potential minerals deal, would be sufficient to deter Russia from further invading Ukraine. Russia has flatly rejected such a move saying it would amount to direct, official and unveiled involvement of Nato members in the war against Russia. Talks between the US and Ukraine aimed at reaching an agreement will take place next week in Saudi Arabia. Ahead of the talks, Trump said on Friday he was strongly considering new sanctions and tariffs on Russia, following a wave of overnight strikes on Ukraine. Writing on social media, he added: To Russia and Ukraine, get to the table right now, before it is too late. Thank you!!! UK Defence Secretary John Healey earlier returned from Washington DC, where he met with his US counterpart Pete Hegseth to discuss ending Russias war on Ukraine. Speaking in Washington, Healey said: Its a lasting, secure peace th...",Politics,feeds.bbci.co.uk,https://www.bbc.com/news/articles/c9wpy9x890wo,2025-03-08
Former Liverpool mayor charged with bribery,"Former Liverpool mayor Joe Anderson and city politician Derek Hatton have been charged with bribery and misconduct relating to council contracts, along with 10 others, police have said. The charges come after a Merseyside Police probe, Operation Aloft, focused on a number of property developers. Mr Anderson and Mr Hatton were first arrested in 2020 as part of an investigation into the awarding of building contracts. Posting on X, the former mayor urged people against falling into the trap of saying no smoke without fire. He added: I am innocent of charges and will fight to clear my name. Thank you for all the messages of support and best wishes. Father-of-four Mr Anderson was elected in 2012, having been a Labour councillor since 1998. Merseyside Police said 12 individuals had been charged following an investigation connected to the awarding of commercial and business contracts from Liverpool City Council between 2010 and 2020. Liverpool City Council said it had supported the police investigation and would continue to cooperate as required. A spokesperson added: It would be inappropriate to comment further at this stage. Those charged are: They will all appear at Preston Magistrates Court on 28 March. Robin Weyell, deputy chief crown prosecutor said: The Crown Prosecution Service has reviewed a full file of evidence from Merseyside Police and has authorised the investigation team to charge 12 people with 12 offences related to bribery and misconduct in public office. He said criminal proceedings were now active and it was extremely important that there should be no reporting, commentary or sharing of information online which could in any way prejudice these proceedings. Listen to the best of BBC Radio Merseyside on Sounds and follow BBC Merseyside on Facebook, X, and Instagram. You can also send story ideas via Whatsapp to 0808 100 2230. Sign up for our Politics Essential newsletter to read top political analysis, gain insight from across the UK and stay up to speed with the big moments. Itll be delivered straight to your inbox every weekday.",Politics,feeds.bbci.co.uk,https://www.bbc.com/news/articles/c17qn4ng0gko,2025-03-08
Plan to make phone use safer for teens watered down,"A bill that had suggested banning smartphones in schools and addictive algorithms aimed at young teenagers has been watered down to gain government support. Labour MP Josh MacAlister, who brought the private members bill, told MPs during a parliamentary debate on Friday that reducing smartphone use in law would be a process, not one big bang event. The proposed legislation calls for the government to say within a year whether it will raise the digital age of consent from 13 to 16 - meaning companies could not receive childrens data without parental permission until that age. Data Protection and Telecoms Minister Chris Bryant said the bills recommendations very much chime with what we intend to do. The bill also says parents need further guidance on smartphone use by children and urges the government to come up with a plan for research into the impact of use of social media on children within 12 months. Bryant said his department had asked the University of Cambridge to run a feasibility study into the impact of smartphones and social media - and that it would work to roughly the same timetable as the bill was calling for. He added that measures from the Online Safety Act due to be implemented in the coming months, would help protect children online. The act puts a duty on social media companies to protect children from harmful content. Bryant concluded his speech by telling MPs inaction is not an option for the government, adding that it was not the end of the matter. The debate on the bill was adjourned until 11 July. Private members bills rarely make it into law without government backing, but they are an opportunity for backbenchers to raise an issues profile. When the legislation was initially proposed in October, it outlined plans to give head teachers legal backing to make schools mobile free, and strengthen Ofcoms powers to prevent children being exposed to apps and services addictive by design. In Fridays debate, Conservative Kit Malthouse, a former education secretary, told the House of Commons the watering down amounted to the gutting of what could have been a landmark bill. He said parents were screaming for help from lawmakers, and that this government, like the last, has dithered, diluted and capitulated on the issue. When asked about the changes, MacAlister, a former teacher, said he had been working really closely with the government to put forward practical measures, and was optimistic ministers would support it. Responding to criticism of the bills watering down in Parliament, MacAlister said it was important that MPs made progress on the issue at every possible opportunity. There have been growing calls to restrict childrens smartphone use, including local schools combining to revise their phone policies and parent groups joining forces to delay giving their child a smartphone. However, some of those in favour of smartphones say they provide opportunities for child development, including socialising, and there is little evidence...",Politics,feeds.bbci.co.uk,https://www.bbc.com/news/articles/cq8y7dvw9ddo,2025-03-08
Minister threatens law change after 'two-tier' row,"Justice Secretary Shabana Mahmood has told the Sentencing Council she will review its powers and legislate, if necessary, following a row over its new guidance on sending people to jail. The changes, which are due to come into force in England and Wales next month, would make the ethnicity or faith of an offender a bigger factor when deciding whether to jail them. Ministers do not have the power to overturn the guidance, but in a letter Mahmood urged the councils chairman to reconsider as soon as possible. Conservative shadow justice secretary Robert Jenrick said the new rules were anti-white and anti-Christian and amounted to two-tier justice. In a post on social media, he said that if the government did not act he would challenge the rules in court. The Sentencing Council said the guidance would ensure courts had the most comprehensive information available to hand out an appropriate sentence and could address disadvantages faced within the criminal justice system. Official figures show that offenders from ethnic minorities consistently get longer sentences than white offenders for indictable offences. The analysis produced by the Ministry of Justice said the difference could be attributed to a range of factors including the varying offence mix across ethnic groups. It added that lower average custodial sentences for white defendants may be a result of a higher percentage of guilty plea rates for this ethnic group, resulting in shorter custodial sentences. Writing to Lord Justice William Davis, chairman of the Sentencing Council, Mahmood said she wanted to make clear my displeasure at the changes. As someone who is from an ethnic minority background myself, I do not stand for any differential treatment before the law, she wrote. She said she would be considering whether policy decisions of such import should be made by the Sentencing Council. A review of the councils role and powers will now take place alongside the existing review into sentencing being led by former Tory minister David Gauke. Mahmood concluded her letter by warning the council that following the review she would legislate if necessary. Prime Minister Sir Keir Starmer - who previously sat on the Sentencing Council when he was director of public prosecutions - said he was concerned by the guidance. The new sentencing guidance puts a greater emphasis on the need for pre-sentence reports for judges. Pre-sentence reports give judges details on the offenders background, motives and personal life before sentencing - then recommend a punishment and what would work best for rehabilitation. But over recent years their use has decreased. Magistrates and judges will be advised to get a pre-sentence report before handing out punishment for someone of an ethnic or faith minority - alongside other groups such as young adults, abuse survivors and pregnant women. These factors are not an exhaustive list, the council said. A pre-sentence report can still be necessary if an individual does not f...",Politics,feeds.bbci.co.uk,https://www.bbc.com/news/articles/c984l6pn30zo,2025-03-08
Ex-Tory minister claims Drakeford dented Covid trust,"Mark Drakeford dented peoples confidence in the UK government during the pandemic, the Welsh secretary at the time has said. Simon Hart said it was exactly what you dont want in a national crisis, telling the BBC Walescast podcast of his frustration with the then Labour first minister. Drakeford was selecting all the things that worked and claiming them as Welsh government, and then being very public about the things that didnt work, and saying that they were UK government, said the ex-Conservative MP. The Welsh government said: All decisions by Welsh ministers related to Covid-19 were based on evidence and always made in the best interests of Wales. The former Carmarthen West and South Pembrokeshire MP has published diaries on his time in the UK cabinet, first as secretary of state for Wales under Boris Johnson and then as Rishi Sunaks chief whip, enforcing party discipline. In Ungovernable: The Political Diaries of a Chief Whip Hart makes clear his frustration at the relationship between the two governments, particularly during the Covid -19 pandemic. He also comments on Mr Drakefords appearance at a Remembrance Day event, calling him a scruffy old university lecturer with dirty shoes. Hart told Walescast Drakeford was a very nice man, but hed never made any secret of the fact he was no massive fan of devolution. He said he felt Drakeford helped to create a false impression that nice Mr Drakeford - and he is a very nice man - had all the solutions, and nasty Mr Johnson caused all of the problems. I thought that was a very lazy politicisation of a very serious situation and I thought Mark Drakeford was party to that, said Hart. It wasnt necessarily about political advantage. The consequence, said Hart, was messaging to the public that was not as clear as it might have been to minimise the risk of the pandemic causing even more mayhem. Hart said he wrote the book to ask the question what went wrong? between December 2019 and July 2024, when the Conservatives went from an 80-seat majority to a general election drubbing. In a separate interview with BBC Politics Wales, to be broadcast on Sunday, he said we have to ask ourselves the question, how on earth did this happen? That is a spectacular fall from grace and, unless were prepared to look in the mirror and say ok lets be serious about what we did well and what we did badly, we will continue to make those mistakes. I dont think it makes particularly comfortable reading at times, he told Walescast. Things went from comedy to tragedy very quickly, as I went from being patient and well-meaning to irritable and disillusioned at times, if I was honest, he added. He stopped short of saying the Conservative Party was ungovernable, characterising his account as more of a description of politics more generally. Keir Starmer suddenly found he was hitting exactly the same headwinds as wed hit fairly early on in his tenure, said Hart. Big majority, new government, all of that - yet it was still difficult. On...",Politics,feeds.bbci.co.uk,https://www.bbc.com/news/articles/cewkyw4l9nyo,2025-03-08
Tory peer apologises for Holocaust memorial comment,"Conservative peer Lord Hamilton has apologised after saying the Jewish community should pay for their own Holocaust memorial because they have an awful lot of money. The former minister said his comments in a House of Lords debate on plans for a memorial near Parliament were insensitive but not intended to be antisemitic. A Conservative Party spokesman condemned the comments as completely unacceptable and flagrantly antisemitic. Responding to calls for him to be suspended from the parliamentary party, leader Kemi Badenoch said: I have intervened in the situation. Lord Hamilton misspoke and hes apologised and I think that should be the end of the matter. Speaking during a debate on legislation to allow a Holocaust memorial and learning centre to be built in Westminster, with public funds used to pay for it, Lord Hamilton said: I do not understand why the government have volunteered taxpayers money, when there is so little of it, to finance this. The Jewish community in Britain has an awful lot of money. It has a lot of education charities that would contribute towards this. I do not understand why they should not pay for their own memorial. Challenged by Lord Austin that the memorial was for everybody not just the Jewish community, Lord Hamilton added: I take that point, but the driving forces behind putting up this memorial are the Jewish people in this country. They are people who have property everywhere. I do not see why they should not fund it. The former minister under Margaret Thatcher and John Major withdrew his comments the following day and said in a statement: My remarks were not intended to be antisemitic and I apologise unreservedly. With retrospect having read my comments, I realise that my remarks were insensitive and I apologise. I intend to meet with groups from the Jewish community in order to better understand how to communicate about issues affecting British Jews. His original remarks were criticised by the Antisemitism Policy Trust, who said they were ill-judged, racist and false. During the debate, Conservative peer Lord Finkelstein said: The Holocaust is not something that is just about the Jews. He added that Lord Hamiltons comments were probably a pretty eloquent contribution as to why we need this memorial - and near Parliament. Former Labour MP and crossbench peer Lord Austin described the remarks as disgusting racism and called on the Conservative Party to take proper action. The Tories were quick to demand Labour took action on antisemitism and quite right too, he wrote on social media. But they must now do the same themselves. Plans for a Holocaust memorial in Victoria Tower Gardens in Westminster were first announced under Conservative Prime Minister David Cameron in 2016. A bill to remove restrictions on the memorial being built in the gardens and to allow public funds to be used for it is currently making its way through Parliament. Sign up for our Politics Essential newsletter to read top political analysis, gain ...",Politics,feeds.bbci.co.uk,https://www.bbc.com/news/articles/c39vd7gj94jo,2025-03-08
Labour MPs urge investors to support defence firms,"More than 100 Labour MPs and peers have urged banks and investment firms to relax their rules on investing in defence companies. In an open letter, first reported by the Financial Times, they said ill considered ethical investment rules had been holding back their access to finance. They wrote that a change in approach would help the UK bolster its defences, and contribute to the governments drive to boost economic growth. It also reflects a trend in recent years to emphasise the national security element of defence investment since Russias full-scale invasion of Ukraine in 2022. Leading weapons companies have seen sales and their share price surge in recent years, as countries seek to rearm after years of declining defence spending. The UK is among those countries committing to ramp up spending, with Sir Keir Starmer announcing plans last week to increase defence spending from 2.3 to 2.5 of national income by 2027, funded by cuts to overseas aid. However in their letter, the politicians argued that environmental, social and governance (ESG) rules adopted by some banks and fund managers are continuing to impact the sectors access to finance. They said ESG rules, which can prevent investment in oil, tobacco and other sectors deemed unethical, had generally driven positive change in the economy. But they added that financial institutions should rethink ESG mechanisms that often wrongly exclude all defence investment. The letter was co-ordinated by the Labour Growth Group, a group of MPs formed last year in part to push the government to deliver major infrastructure projects. Some investment funds have adopted specific rules against investing in weapons manufacturers and others have broader rules obliging them to consider the risk that investment could lead to human rights breaches. But some analysts have pointed out that attitudes on the ethics of investing in the sector appear to have shifted in recent years, with the share of ESG funds holding shares in defence and aerospace firms on the up compared to 2022. The previous Conservative government had also sought to encourage defence investment, with former prime minister Rishi Sunak arguing there is nothing more ethical than defending our way of life. The Investment Association, the trade body for UK investment managers, signed a statement last year stating that investment in good, high-quality, well-run defence companies was compatible with ESG considerations. In their letter, the MPs and peers also argued that defence firms faced unnecessary barriers to doing business in the UK, echoing longstanding complaints from the sector about access to finance. ADS, the industry lobby group, has previously argued that defence firms face higher regulatory barriers when it comes to securing bank accounts and loans. These include rules obliging banks to run enhanced money laundering checks for defence and security companies, and to make sure they are not financing weapons banned under international treaties. T...",Politics,feeds.bbci.co.uk,https://www.bbc.com/news/articles/clydjk2454qo,2025-03-08
Police unit dubbed 'authoritarian censor',"A national policing unit has been criticised for telling local forces to block the release of information under laws designed to safeguard the publics right to know. The National Police Chiefs Council (NPCC) has advised forces not to reveal information on topics including the use of banned surveillance software and the spread of super-strength drugs, the BBC has found. Campaign group Big Brother Watch said the NPCC team  known as the central referral unit (CRU)  was acting like an authoritarian censor rather than a public body. The CRU said it acted in line with legislation and only recommended how local forces should respond to Freedom of Information (FOI) requests. The BBC was alerted to the units involvement in local forces FOI responses while researching the spread of potent synthetic opioids. Sixteen forces - more than a third of the UKs total number - had given us details about crimes linked with the drugs, but then retracted their responses at the units request. The unit argued the information would undermine national security as it could be exploited by drug traffickers. Our subsequent investigation found the CRU had advised local forces on 1,706 occasions in the first three months of 2024 - equivalent to one in every 11 requests submitted to forces in that time. On another occasion, it cited concerns about negative press when advising forces to retract earlier responses and instead neither confirm nor deny if their officers had used the facial recognition search engine PimEyes, according to documents obtained by Liberty Investigates. The software has been banned by Scotland Yard. Jake Hurfurt, the head of research and investigations at Big Brother Watch, said pressurising police forces to retract data was the practice of an authoritarian censor not an accountable public body. It is alarming that the NPCC is going beyond giving advice to individual forces and instead seemingly orchestrating how every force responds to sensitive transparency requests, he said. The CRU said it was legitimately discussing negative press or media attention when researching what information was already published, but those factors did not influence whether it favoured disclosure. It also said it had had a smaller volume of work in each year since 2020. FOI laws came into force in the UK in January 2005 and allow anyone to apply to government or public bodies to see information, such as crime statistics or details on expenditure. Using those laws, citizens can ask for information from people in power - sometimes including details they might prefer had stayed a secret. The Freedom of Information Act presumes each request should lead to information being disclosed, unless a legal exemption applies. Our investigation revealed the CRU did not follow the so-called applicant-blind principle when responding to FOI requests. The principle states everyone should get the same level and quality of response, regardless of whether it is their first request or they use the a...",Politics,feeds.bbci.co.uk,https://www.bbc.com/news/articles/cn0ypn4pyyro,2025-03-08
